state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Mississippi,Hinds County,Mississippi Department of Corrections,GEORGE-GREENE COUNTY REGIONAL CORRECTIONAL FACILITY,hifld_prisons,COUNTY,NA,28,28039,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,154 INDUSTRIAL PARK RD,LUCEDALE,George,30.930375918332263,-88.58691029616963
Mississippi,Hinds County,Mississippi Department of Corrections,GEORGE COUNTY SHERIFFS DEPARTMENT,hifld,SHERIFF'S OFFICE,NA,28,28039,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,355 COX STREET,LUCEDALE,George,30.9234883,-88.5899394
Mississippi,Hinds County,Mississippi Department of Corrections,GREENE COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28041,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,300 LAFAYETTE AVENUE,LEAKESVILLE,Greene,31.153975001318628,-88.55104758824842
Mississippi,Hinds County,Mississippi Department of Corrections,GREENE COUNTY SHERIFFS DEPARTMENT / GREENE COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28041,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,300 LAFAYETTE AVENUE,LEAKESVILLE,Greene,31.1539487,-88.5509764
Mississippi,Hinds County,Mississippi Department of Corrections,GREENVILLE POLICE DEPARTMENT / GREENVILLE CITY JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,28,28151,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,216 MAIN STREET,GREENVILLE,Washington,33.4118035,-91.0640683
Mississippi,Hinds County,Mississippi Department of Corrections,GREENVILLE CITY JAIL,hifld_prisons,LOCAL,NA,28,28151,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,216 MAIN STREET,GREENVILLE,Washington,33.41180991134202,-91.06408144363456
Mississippi,Hinds County,Mississippi Department of Corrections,GRENADA COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28043,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,37 DOAK STREET,GRENADA,Grenada,33.785849853019855,-89.80351001466815
Mississippi,Hinds County,Mississippi Department of Corrections,GRENADA COUNTY SHERIFFS DEPARTMENT,hifld,SHERIFF'S OFFICE,NA,28,28043,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,35 DOAK STREET,GRENADA,Grenada,33.785871,-89.803658
Mississippi,Hinds County,Mississippi Department of Corrections,HANCOCK COUNTY ADULT DETENTION CENTER,hifld_prisons,COUNTY,NA,28,28045,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,8450 HIGHWAY 90 BAY,ST. LOUIS,Hancock,30.303088404647202,-89.47653078816056
Mississippi,Hinds County,Mississippi Department of Corrections,Hancock County Public Safety Complex,facilities,NA,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,8450 Highway 90,Bay Saint Louis,Hancock,30.30312418,-89.47651733
